user_id,adopt_day,adopt_period,preadopt_client,any_client,country,canada_us,europe,southamerica,perc_ads,georegion,min_period,max_period,min_day,max_day,age,gender_female,tot_plays_main,tot_plays_pre,tot_plays_init,pre_avg_daily_plays,pre_uniq_songs,pre_uniq_artists,pre_uniq_genres,pre_ss_p_stat_20,pre_ss_p_stat_100,pre_ss_p_stat_500,pre_ss_u_stat_20,pre_ss_u_stat_100,pre_ss_u_stat_500,pre_c2_songs,pre_c2_artists,pre_c2_genres,pre_herf_songs,pre_herf_artists,pre_herf_genres,pre_new_artistsp,pre_new_artistsu,pre_multiple_artistsu,pre_no_players,pre_avg_completion,pre_no_listening_days,pre_perc_itunes,pre_session_length,pre_artist_age,pre_client
1,123,18,wawmpfoo,spot+wawmpfoo+other,BR,0,0,1,0.25,South America,1,66,7,458,22,0,2562,864,14270,11.07692308,13.86666667,2.866666667,1.166666667,0,0.00462963,0.008101852,0.05,0.02,0.008,0.020833333,0.480324074,0.634259259,0.003833912,0.166733646,0.22035751,0.684027778,0.744186047,0.569767442,2,0.980292002,30,0,75.30294118,2002.44,wawmpfoo+other
2,NA,NA,NA,itun,DE,0,1,0,NA,Europe,9,65,63,451,25,0,342,27,1669,0.551020408,4.666666667,0.666666667,0.666666667,0,0,0,0.05,0.01,0.002,0.222222222,1,1,0.083676269,0.862825789,0.862825789,0.925925926,0.5,1,1,0.998648025,3,0,24.5375,1987.5,other
3,NA,NA,NA,itun+wawmpfoo+other,UA,0,0,0,NA,Other,1,66,1,458,28,0,11304,6674,42189,79.45238095,36.65671642,5.582089552,1.641791045,0.000599341,0.013784837,0.075516931,0.15,0.06,0.048,0.069673359,0.070422535,0.295624813,0.006486332,0.011259505,0.070611434,0.556487863,0.655080214,0.786096257,2,0.977402328,67,0,196.247037,2000.335484,wawmpfoo+other
4,302,44,wawmpfoo+other,spot+wawmpfoo+other,UK,0,1,0,0.002702703,Europe,1,66,1,457,24,1,7746,3107,19580,36.98809524,23,7.403508772,1.684210526,0.015448986,0.074026392,0.342452527,0.4,0.38,0.218,0.019311233,0.144512391,0.415513357,0.002384536,0.02305404,0.124463598,0.250724171,0.654028436,0.526066351,5,0.985926391,57,0,124.4702778,1996.122762,wawmpfoo+other
5,1,1,no_prior_usage,spot+wawmpfoo+other,ES,0,1,0,0.086967356,Europe,1,66,1,458,26,1,6650,2582,13446,30.73809524,18.34615385,2.923076923,0.730769231,0,0.144848954,0.350116189,0.05,0.1,0.084,0.017815647,0.142525174,0.428737413,0.001431288,0.020838721,0.116939894,0.112316034,0.263157895,0.75877193,4,0.986211543,78,0,70.65617021,1998.063348,spot+wawmpfoo+other
6,NA,NA,NA,wawmpfoo+other,RU,0,0,0,NA,Other,1,65,4,454,27,0,4093,6431,35890,76.55952381,42.88732394,3.014084507,0.943661972,0.002176955,0.073394495,0.169802519,0.15,0.15,0.064,0.009485306,0.075260457,0.30928316,0.000586274,0.019424964,0.088787713,0.62292023,0.630841121,0.672897196,2,0.985336509,71,0,255.7006173,1996.53886,wawmpfoo+other
7,NA,NA,NA,wawmpfoo+other,NL,0,1,0,NA,Europe,1,63,4,440,43,0,743,285,4376,3.392857143,9.782608696,1.608695652,0.782608696,0,0,0.01754386,0.05,0.01,0.004,0.045614035,0.266666667,0.385964912,0.005995691,0.065706371,0.115666359,0.329824561,0.540540541,0.702702703,2,0.988137633,23,0,54.46470588,1993.733333,wawmpfoo+other
8,NA,NA,NA,itun+other,UK,0,1,0,NA,Europe,5,65,30,454,19,0,5,0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,other,NA,0,0,0,NA,Other,5,17,29,114,20,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,wawmpfoo+other,BY,0,0,0,NA,Other,1,66,1,458,29,0,79863,11993,73069,142.7738095,3.886075949,1.898734177,0.569620253,0.034019845,0.106979071,0.531059785,0.5,0.21,0.104,0.228549987,0.314600183,0.508796798,0.037832104,0.069401605,0.171770542,0.106478779,0.14,0.873333333,2,0.983897197,79,0,380.2098118,2000.109489,wawmpfoo+other
11,NA,NA,NA,itun+other,BR,0,0,1,NA,South America,1,39,1,270,20,0,92,5751,31097,69.28915663,28.45070423,1.887323944,0.535211268,0.004173187,0.02851678,0.105546861,0.1,0.03,0.02,0.022430882,0.099287081,0.616936185,0.001400587,0.02254638,0.211793517,0.058772387,0.186567164,0.888059701,2,0.977971741,71,0.046948357,177.7753623,1997.955357,itun+other
